datetime,subba,parent,value,temperature_2m
2024-03-08 07:00:00+00:00,ZOND,NYIS,663,-0.1415
2024-03-08 07:00:00+00:00,ZONF,NYIS,1060,-0.1415
2024-03-08 07:00:00+00:00,ZONE,NYIS,718,-0.1415
2024-03-08 07:00:00+00:00,ZONC,NYIS,1497,-0.1415
2024-03-08 07:00:00+00:00,ZONA,NYIS,1585,-0.1415
2024-03-08 07:00:00+00:00,ZONB,NYIS,928,-0.1415
2024-03-08 07:00:00+00:00,ZONI,NYIS,508,-0.1415
2024-03-08 07:00:00+00:00,ZONJ,NYIS,4342,-0.1415
2024-03-08 07:00:00+00:00,ZONK,NYIS,1720,-0.1415
2024-03-08 07:00:00+00:00,ZONG,NYIS,904,-0.1415
2024-03-08 07:00:00+00:00,ZONH,NYIS,243,-0.1415
2024-03-08 08:00:00+00:00,ZOND,NYIS,664,1.7085
2024-03-08 08:00:00+00:00,ZONA,NYIS,1565,1.7085
2024-03-08 08:00:00+00:00,ZONE,NYIS,722,1.7085
2024-03-08 08:00:00+00:00,ZONF,NYIS,1052,1.7085
2024-03-08 08:00:00+00:00,ZONC,NYIS,1492,1.7085
2024-03-08 08:00:00+00:00,ZONB,NYIS,928,1.7085
2024-03-08 08:00:00+00:00,ZONH,NYIS,240,1.7085
2024-03-08 08:00:00+00:00,ZONK,NYIS,1680,1.7085
2024-03-08 08:00:00+00:00,ZONJ,NYIS,4222,1.7085
2024-03-08 08:00:00+00:00,ZONI,NYIS,507,1.7085
2024-03-08 08:00:00+00:00,ZONG,NYIS,891,1.7085
2024-03-08 09:00:00+00:00,ZOND,NYIS,667,3.7585
2024-03-08 09:00:00+00:00,ZONC,NYIS,1490,3.7585
2024-03-08 09:00:00+00:00,ZONE,NYIS,736,3.7585
2024-03-08 09:00:00+00:00,ZONF,NYIS,1059,3.7585
2024-03-08 09:00:00+00:00,ZONA,NYIS,1550,3.7585
2024-03-08 09:00:00+00:00,ZONB,NYIS,933,3.7585
2024-03-08 09:00:00+00:00,ZONI,NYIS,496,3.7585
2024-03-08 09:00:00+00:00,ZONK,NYIS,1668,3.7585
2024-03-08 09:00:00+00:00,ZONJ,NYIS,4169,3.7585
2024-03-08 09:00:00+00:00,ZONG,NYIS,892,3.7585
2024-03-08 09:00:00+00:00,ZONH,NYIS,242,3.7585
2024-03-08 10:00:00+00:00,ZOND,NYIS,669,5.3085
2024-03-08 10:00:00+00:00,ZONC,NYIS,1508,5.3085
2024-03-08 10:00:00+00:00,ZONE,NYIS,759,5.3085
2024-03-08 10:00:00+00:00,ZONB,NYIS,958,5.3085
2024-03-08 10:00:00+00:00,ZONA,NYIS,1581,5.3085
2024-03-08 10:00:00+00:00,ZONF,NYIS,1084,5.3085
2024-03-08 10:00:00+00:00,ZONK,NYIS,1708,5.3085
2024-03-08 10:00:00+00:00,ZONJ,NYIS,4213,5.3085
2024-03-08 10:00:00+00:00,ZONI,NYIS,503,5.3085
2024-03-08 10:00:00+00:00,ZONG,NYIS,911,5.3085
2024-03-08 10:00:00+00:00,ZONH,NYIS,250,5.3085
2024-03-08 11:00:00+00:00,ZOND,NYIS,687,6.2584996
2024-03-08 11:00:00+00:00,ZONE,NYIS,815,6.2584996
2024-03-08 11:00:00+00:00,ZONF,NYIS,1157,6.2584996
2024-03-08 11:00:00+00:00,ZONC,NYIS,1624,6.2584996
2024-03-08 11:00:00+00:00,ZONA,NYIS,1651,6.2584996
2024-03-08 11:00:00+00:00,ZONB,NYIS,1022,6.2584996
2024-03-08 11:00:00+00:00,ZONK,NYIS,1834,6.2584996
2024-03-08 11:00:00+00:00,ZONJ,NYIS,4448,6.2584996
2024-03-08 11:00:00+00:00,ZONI,NYIS,536,6.2584996
2024-03-08 11:00:00+00:00,ZONG,NYIS,962,6.2584996
2024-03-08 11:00:00+00:00,ZONH,NYIS,271,6.2584996
2024-03-08 12:00:00+00:00,ZONH,NYIS,303,7.0585
2024-03-08 12:00:00+00:00,ZONF,NYIS,1264,7.0585
2024-03-08 12:00:00+00:00,ZONG,NYIS,1038,7.0585
2024-03-08 12:00:00+00:00,ZONI,NYIS,595,7.0585
2024-03-08 12:00:00+00:00,ZONK,NYIS,1977,7.0585
2024-03-08 12:00:00+00:00,ZONJ,NYIS,4864,7.0585
2024-03-08 12:00:00+00:00,ZONA,NYIS,1753,7.0585
2024-03-08 12:00:00+00:00,ZONB,NYIS,1106,7.0585
2024-03-08 12:00:00+00:00,ZONC,NYIS,1776,7.0585
2024-03-08 12:00:00+00:00,ZONE,NYIS,892,7.0585
2024-03-08 12:00:00+00:00,ZOND,NYIS,713,7.0585
2024-03-08 13:00:00+00:00,ZOND,NYIS,700,7.5084996
2024-03-08 13:00:00+00:00,ZONC,NYIS,1776,7.5084996
2024-03-08 13:00:00+00:00,ZONE,NYIS,823,7.5084996
2024-03-08 13:00:00+00:00,ZONB,NYIS,1097,7.5084996
2024-03-08 13:00:00+00:00,ZONA,NYIS,1801,7.5084996
2024-03-08 13:00:00+00:00,ZONF,NYIS,1226,7.5084996
2024-03-08 13:00:00+00:00,ZONK,NYIS,1975,7.5084996
2024-03-08 13:00:00+00:00,ZONJ,NYIS,5228,7.5084996
2024-03-08 13:00:00+00:00,ZONI,NYIS,609,7.5084996
2024-03-08 13:00:00+00:00,ZONG,NYIS,1010,7.5084996
2024-03-08 13:00:00+00:00,ZONH,NYIS,305,7.5084996
2024-03-08 14:00:00+00:00,ZOND,NYIS,685,7.6584997
2024-03-08 14:00:00+00:00,ZONE,NYIS,683,7.6584997
2024-03-08 14:00:00+00:00,ZONF,NYIS,1069,7.6584997
2024-03-08 14:00:00+00:00,ZONC,NYIS,1606,7.6584997
2024-03-08 14:00:00+00:00,ZONA,NYIS,1759,7.6584997
2024-03-08 14:00:00+00:00,ZONB,NYIS,1008,7.6584997
2024-03-08 14:00:00+00:00,ZONK,NYIS,1855,7.6584997
2024-03-08 14:00:00+00:00,ZONJ,NYIS,5426,7.6584997
2024-03-08 14:00:00+00:00,ZONI,NYIS,598,7.6584997
2024-03-08 14:00:00+00:00,ZONG,NYIS,887,7.6584997
2024-03-08 14:00:00+00:00,ZONH,NYIS,298,7.6584997
2024-03-08 15:00:00+00:00,ZOND,NYIS,666,7.4585
2024-03-08 15:00:00+00:00,ZONF,NYIS,950,7.4585
2024-03-08 15:00:00+00:00,ZONE,NYIS,604,7.4585
2024-03-08 15:00:00+00:00,ZONC,NYIS,1488,7.4585
2024-03-08 15:00:00+00:00,ZONA,NYIS,1689,7.4585
2024-03-08 15:00:00+00:00,ZONB,NYIS,948,7.4585
2024-03-08 15:00:00+00:00,ZONG,NYIS,779,7.4585
2024-03-08 15:00:00+00:00,ZONK,NYIS,1734,7.4585
2024-03-08 15:00:00+00:00,ZONJ,NYIS,5519,7.4585
2024-03-08 15:00:00+00:00,ZONI,NYIS,580,7.4585
2024-03-08 15:00:00+00:00,ZONH,NYIS,288,7.4585
2024-03-08 16:00:00+00:00,ZOND,NYIS,648,6.6584997
2024-03-08 16:00:00+00:00,ZONE,NYIS,570,6.6584997
2024-03-08 16:00:00+00:00,ZONF,NYIS,898,6.6584997
2024-03-08 16:00:00+00:00,ZONC,NYIS,1400,6.6584997
2024-03-08 16:00:00+00:00,ZONB,NYIS,854,6.6584997
2024-03-08 16:00:00+00:00,ZONA,NYIS,1633,6.6584997
2024-03-08 16:00:00+00:00,ZONK,NYIS,1660,6.6584997
2024-03-08 16:00:00+00:00,ZONJ,NYIS,5510,6.6584997
2024-03-08 16:00:00+00:00,ZONI,NYIS,571,6.6584997
2024-03-08 16:00:00+00:00,ZONG,NYIS,735,6.6584997
2024-03-08 16:00:00+00:00,ZONH,NYIS,273,6.6584997
2024-03-08 17:00:00+00:00,ZOND,NYIS,641,4.9084997
2024-03-08 17:00:00+00:00,ZONF,NYIS,878,4.9084997
2024-03-08 17:00:00+00:00,ZONE,NYIS,565,4.9084997
2024-03-08 17:00:00+00:00,ZONC,NYIS,1346,4.9084997
2024-03-08 17:00:00+00:00,ZONA,NYIS,1593,4.9084997
2024-03-08 17:00:00+00:00,ZONB,NYIS,835,4.9084997
2024-03-08 17:00:00+00:00,ZONH,NYIS,264,4.9084997
2024-03-08 17:00:00+00:00,ZONK,NYIS,1606,4.9084997
2024-03-08 17:00:00+00:00,ZONJ,NYIS,5516,4.9084997
2024-03-08 17:00:00+00:00,ZONI,NYIS,559,4.9084997
2024-03-08 17:00:00+00:00,ZONG,NYIS,698,4.9084997
2024-03-08 18:00:00+00:00,ZOND,NYIS,642,3.8585
2024-03-08 18:00:00+00:00,ZONE,NYIS,535,3.8585
2024-03-08 18:00:00+00:00,ZONF,NYIS,869,3.8585
2024-03-08 18:00:00+00:00,ZONC,NYIS,1311,3.8585
2024-03-08 18:00:00+00:00,ZONA,NYIS,1539,3.8585
2024-03-08 18:00:00+00:00,ZONB,NYIS,812,3.8585
2024-03-08 18:00:00+00:00,ZONI,NYIS,546,3.8585
2024-03-08 18:00:00+00:00,ZONJ,NYIS,5482,3.8585
2024-03-08 18:00:00+00:00,ZONK,NYIS,1590,3.8585
2024-03-08 18:00:00+00:00,ZONG,NYIS,666,3.8585
2024-03-08 18:00:00+00:00,ZONH,NYIS,258,3.8585
2024-03-08 19:00:00+00:00,ZOND,NYIS,639,3.2085001
2024-03-08 19:00:00+00:00,ZONC,NYIS,1277,3.2085001
2024-03-08 19:00:00+00:00,ZONE,NYIS,507,3.2085001
2024-03-08 19:00:00+00:00,ZONB,NYIS,777,3.2085001
2024-03-08 19:00:00+00:00,ZONF,NYIS,851,3.2085001
2024-03-08 19:00:00+00:00,ZONA,NYIS,1572,3.2085001
2024-03-08 19:00:00+00:00,ZONK,NYIS,1564,3.2085001
2024-03-08 19:00:00+00:00,ZONI,NYIS,542,3.2085001
2024-03-08 19:00:00+00:00,ZONJ,NYIS,5452,3.2085001
2024-03-08 19:00:00+00:00,ZONH,NYIS,249,3.2085001
2024-03-08 19:00:00+00:00,ZONG,NYIS,653,3.2085001
2024-03-08 20:00:00+00:00,ZONC,NYIS,1256,2.6585
2024-03-08 20:00:00+00:00,ZOND,NYIS,623,2.6585
2024-03-08 20:00:00+00:00,ZONE,NYIS,501,2.6585
2024-03-08 20:00:00+00:00,ZONB,NYIS,757,2.6585
2024-03-08 20:00:00+00:00,ZONA,NYIS,1559,2.6585
2024-03-08 20:00:00+00:00,ZONF,NYIS,868,2.6585
2024-03-08 20:00:00+00:00,ZONJ,NYIS,5437,2.6585
2024-03-08 20:00:00+00:00,ZONK,NYIS,1617,2.6585
2024-03-08 20:00:00+00:00,ZONI,NYIS,549,2.6585
2024-03-08 20:00:00+00:00,ZONG,NYIS,670,2.6585
2024-03-08 20:00:00+00:00,ZONH,NYIS,252,2.6585
2024-03-08 21:00:00+00:00,ZOND,NYIS,626,2.1085
2024-03-08 21:00:00+00:00,ZONF,NYIS,920,2.1085
2024-03-08 21:00:00+00:00,ZONE,NYIS,521,2.1085
2024-03-08 21:00:00+00:00,ZONC,NYIS,1320,2.1085
2024-03-08 21:00:00+00:00,ZONB,NYIS,796,2.1085
2024-03-08 21:00:00+00:00,ZONA,NYIS,1604,2.1085
2024-03-08 21:00:00+00:00,ZONI,NYIS,568,2.1085
2024-03-08 21:00:00+00:00,ZONJ,NYIS,5500,2.1085
2024-03-08 21:00:00+00:00,ZONK,NYIS,1752,2.1085
2024-03-08 21:00:00+00:00,ZONG,NYIS,763,2.1085
